title,company,location,date_posted,link
Software Engineer,Project Growth,"Ottawa, Ontario, Canada",4 weeks ago,https://ca.linkedin.com/jobs/view/software-engineer-at-project-growth-3997645520?position=26&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=ll6eJZgPsIsdBWxEkHpEBA%3D%3D&trk=public_jobs_jserp-result_search-card
Associate Software Developer - Ottawa,Fiery,"Ottawa, Ontario, Canada",4 days ago,https://ca.linkedin.com/jobs/view/associate-software-developer-ottawa-at-fiery-3982312306?position=27&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=Ovnh%2FYHKIlWbEZyEud%2FBnA%3D%3D&trk=public_jobs_jserp-result_search-card
Full Stack Developer,BDO Canada,"Ottawa, Ontario, Canada",3 days ago,https://ca.linkedin.com/jobs/view/full-stack-developer-at-bdo-canada-4017009333?position=28&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=yfgDt%2FfWiQfw8STgefp8kQ%3D%3D&trk=public_jobs_jserp-result_search-card
Intermediate Software Developer,Assent,"Ottawa, Ontario, Canada",1 day ago,https://ca.linkedin.com/jobs/view/intermediate-software-developer-at-assent-4009287792?position=29&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=1Dvj6ymAtgCUUYPiPlUeZA%3D%3D&trk=public_jobs_jserp-result_search-card
Software Development Engineer,Adobe,"Ottawa, Ontario, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/software-development-engineer-at-adobe-3934163324?position=30&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=s0D4tv6Bz6C%2BKsGercT1xg%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Software Developer,Circle K,"Kanata, Ontario, Canada",1 week ago,https://ca.linkedin.com/jobs/view/senior-software-developer-at-circle-k-3995987734?position=31&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=L%2B8cmM5Q8neCXglGhiTX1g%3D%3D&trk=public_jobs_jserp-result_search-card
Software Developer (New Grad): Angular/React C#/Java,Thales,"Ottawa, Ontario, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/software-developer-new-grad-angular-react-c%23-java-at-thales-3880159312?position=32&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=z2EZ6d24sTzU30qO%2F%2F0MNg%3D%3D&trk=public_jobs_jserp-result_search-card
Full Stack Developer,Solink,"Kanata, Ontario, Canada",3 days ago,https://ca.linkedin.com/jobs/view/full-stack-developer-at-solink-4017002179?position=33&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=wk2iSznL55R6CgFwLaBBSg%3D%3D&trk=public_jobs_jserp-result_search-card
"Co-op or Intern, Full-Stack Developer (May 2025)",BDO Canada,"Ottawa, Ontario, Canada",1 week ago,https://ca.linkedin.com/jobs/view/co-op-or-intern-full-stack-developer-may-2025-at-bdo-canada-4013219124?position=34&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=iESYUhYGGsGjmRbZLOYzRQ%3D%3D&trk=public_jobs_jserp-result_search-card
Java Backend Developer - Remote Work,Jobs Malaysia - Two95 HR HUB,"Ottawa, Ontario, Canada",4 months ago,https://ca.linkedin.com/jobs/view/java-backend-developer-remote-work-at-jobs-malaysia-two95-hr-hub-3931514313?position=35&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=FV%2FFM1CThcObKW1ERp4haQ%3D%3D&trk=public_jobs_jserp-result_search-card
Java Developer,TV2 Consulting,"Ottawa, Ontario, Canada",10 months ago,https://ca.linkedin.com/jobs/view/java-developer-at-tv2-consulting-3780874466?position=36&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=DG4aLVJEhSJZ62u%2FzPC67g%3D%3D&trk=public_jobs_jserp-result_search-card
Java Developer (Level 1),TRM Technologies Inc.,"Ottawa, Ontario, Canada",7 months ago,https://ca.linkedin.com/jobs/view/java-developer-level-1-at-trm-technologies-inc-3818338669?position=37&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=t5hNYof5aNq%2FnABs16%2B4JA%3D%3D&trk=public_jobs_jserp-result_search-card
Java Developer (Canada Secret level Clearance required),TV2 Consulting,"Ottawa, Ontario, Canada",8 months ago,https://ca.linkedin.com/jobs/view/java-developer-canada-secret-level-clearance-required-at-tv2-consulting-3811383375?position=38&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=LNKFZWvb9yGE4Tw6fuxBOg%3D%3D&trk=public_jobs_jserp-result_search-card
Software Developer,Ford Motor Company,"Ottawa, Ontario, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/software-developer-at-ford-motor-company-4007088588?position=39&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=99NoIud2fRggvS7aavhdaQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Developer,US Tech Solutions,"Ottawa, Ontario, Canada",4 months ago,https://ca.linkedin.com/jobs/view/software-developer-at-us-tech-solutions-3897744014?position=40&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=r%2FFomg8NkOG2%2Bb4RFX1vWg%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Python - Ubuntu Pro client - graduate level,Canonical,"Ottawa, Ontario, Canada",1 week ago,https://ca.linkedin.com/jobs/view/software-engineer-python-ubuntu-pro-client-graduate-level-at-canonical-4014093558?position=41&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=cBcAmhsRnM%2FAAdIVx1z8ug%3D%3D&trk=public_jobs_jserp-result_search-card
"Co-op or Intern, Full-Stack Developer (September 2025)",BDO Canada,"Ottawa, Ontario, Canada",1 week ago,https://ca.linkedin.com/jobs/view/co-op-or-intern-full-stack-developer-september-2025-at-bdo-canada-4013215469?position=42&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=NogMftOjae2cdBtGPHpyDw%3D%3D&trk=public_jobs_jserp-result_search-card
C++ Developer,MindPal,"Ottawa, Ontario, Canada",1 year ago,https://ca.linkedin.com/jobs/view/c%2B%2B-developer-at-mindpal-3707108346?position=43&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=Nr0%2FCTRf4DZtKFt%2FiGoSZg%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Developer 1, Front End Technologies",Kinaxis,"Ottawa, Ontario, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/software-developer-1-front-end-technologies-at-kinaxis-4008860297?position=44&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=h2wFIXaBDQSbQNbM3tXq5A%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer,Zafin,"Ottawa, Ontario, Canada",1 month ago,https://ca.linkedin.com/jobs/view/software-engineer-at-zafin-3988155644?position=45&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=VopUiCkYo%2Fe1kZIRuEUogA%3D%3D&trk=public_jobs_jserp-result_search-card
Microsoft .Net Developer,TV2 Consulting,"Ottawa, Ontario, Canada",6 months ago,https://ca.linkedin.com/jobs/view/microsoft-net-developer-at-tv2-consulting-3853346903?position=46&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=WlMHVkT9kfRaKo3KtJBWrA%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer (backend),Qlik,"Ottawa, Ontario, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/software-engineer-backend-at-qlik-4004449645?position=47&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=btDyYHGyNj0cTlBSnv5uLA%3D%3D&trk=public_jobs_jserp-result_search-card
Software Development Co-op/Intern,Nokia,"Kanata, Ontario, Canada",5 days ago,https://ca.linkedin.com/jobs/view/software-development-co-op-intern-at-nokia-4004493655?position=48&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=FwK8cvaPR%2FqhuFHCdH%2BeVA%3D%3D&trk=public_jobs_jserp-result_search-card
Node.JS Developer with GraphQL,MindPal,"Ottawa, Ontario, Canada",1 year ago,https://ca.linkedin.com/jobs/view/node-js-developer-with-graphql-at-mindpal-3707108351?position=49&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=%2B3b5MhE4EGWWdpUu0vvq3Q%3D%3D&trk=public_jobs_jserp-result_search-card
Java Cloud/DevOps Engineer,SHOEBOX Ltd.,"Ottawa, Ontario, Canada",2 days ago,https://ca.linkedin.com/jobs/view/java-cloud-devops-engineer-at-shoebox-ltd-4015099750?position=50&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=2n5wRCckXa7nPHTblmjNMw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Developer,Kongsberg Geospatial,"Ottawa, Ontario, Canada",5 days ago,https://ca.linkedin.com/jobs/view/software-developer-at-kongsberg-geospatial-4013631228?position=51&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=7%2FA0ICrU29Pi2Btb%2F5qlFw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Developer,Thales,"Ottawa, Ontario, Canada",3 days ago,https://ca.linkedin.com/jobs/view/software-developer-at-thales-4000857057?position=52&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=6Plq7rv9Clwh3yXEBKzDyA%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Frontend Developer,CapIntel,"Ottawa, Ontario, Canada",1 month ago,https://ca.linkedin.com/jobs/view/senior-frontend-developer-at-capintel-3995541003?position=53&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=HPKsiWKECtJRqAD%2F4NXjlg%3D%3D&trk=public_jobs_jserp-result_search-card
Software Developer Co-op/Intern,Nokia,"Kanata, Ontario, Canada",1 week ago,https://ca.linkedin.com/jobs/view/software-developer-co-op-intern-at-nokia-4011515494?position=54&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=udYw%2BM3Ih6UJ7RgQOxqB7A%3D%3D&trk=public_jobs_jserp-result_search-card
Intermediate Generalist Programmer,Snowed In Studios Inc.,"Ottawa, Ontario, Canada",1 month ago,https://ca.linkedin.com/jobs/view/intermediate-generalist-programmer-at-snowed-in-studios-inc-3982785133?position=55&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=VfRst3ctVBT6nQNOUelIXw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer/ Protocol Test Engineer,Zortech Solutions,"Ottawa, Ontario, Canada",5 months ago,https://ca.linkedin.com/jobs/view/software-engineer-protocol-test-engineer-at-zortech-solutions-3888460804?position=56&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=7jIWc6BYV2eVcfu%2B3QcxVg%3D%3D&trk=public_jobs_jserp-result_search-card
Software Designer Co-op/Intern,Nokia,"Kanata, Ontario, Canada",1 week ago,https://ca.linkedin.com/jobs/view/software-designer-co-op-intern-at-nokia-4008715688?position=57&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=N2BPXb0zA5w7%2BqgPinj5FQ%3D%3D&trk=public_jobs_jserp-result_search-card
Web Developer – Co-op/Intern,Nokia,"Kanata, Ontario, Canada",21 hours ago,https://ca.linkedin.com/jobs/view/web-developer-%E2%80%93-co-op-intern-at-nokia-4008712888?position=58&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=hoS7gGkfNcDIFsKhwRdzMQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Senior Fullstack Developer, Core Payments",Fullscript,"Ottawa, Ontario, Canada",2 months ago,https://ca.linkedin.com/jobs/view/senior-fullstack-developer-core-payments-at-fullscript-3943076853?position=59&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=jCuiQyuZzHlWrUZETq6FNw%3D%3D&trk=public_jobs_jserp-result_search-card
Ruby Engineer II (Canada Remote),Fullscript,"Ottawa, Ontario, Canada",1 week ago,https://ca.linkedin.com/jobs/view/ruby-engineer-ii-canada-remote-at-fullscript-4010901895?position=60&pageNum=0&refId=aioYmWggSVmgCw7zNHjHnQ%3D%3D&trackingId=VNtLHXa6n519osAajFBoTQ%3D%3D&trk=public_jobs_jserp-result_search-card
C++ Developer,Searidge Technologies,"Nepean, Ontario, Canada",1 month ago,https://ca.linkedin.com/jobs/view/c%2B%2B-developer-at-searidge-technologies-3976657406?position=1&pageNum=6&refId=cgpSAvqukymI3geuhAFuhw%3D%3D&trackingId=oOKQ1n87%2BFCnvIX54is3MQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Solutions Engineering,Canonical,"Ottawa, Ontario, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/software-engineer-solutions-engineering-at-canonical-4002999023?position=2&pageNum=6&refId=cgpSAvqukymI3geuhAFuhw%3D%3D&trackingId=wtNhfD4mFu%2FU4UDk2k%2F7xA%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Engineer (Remote),Lightci (Light Consulting),"Ottawa, Ontario, Canada",1 month ago,https://ca.linkedin.com/jobs/view/senior-engineer-remote-at-lightci-light-consulting-3978646812?position=3&pageNum=6&refId=cgpSAvqukymI3geuhAFuhw%3D%3D&trackingId=kWP2iVlml%2BPb%2BtZFaryYXw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer – WiFi Algorithms,Huawei Canada,"Ottawa, Ontario, Canada",1 month ago,https://ca.linkedin.com/jobs/view/software-engineer-%E2%80%93-wifi-algorithms-at-huawei-canada-3971247219?position=4&pageNum=6&refId=cgpSAvqukymI3geuhAFuhw%3D%3D&trackingId=UFNaknLAzplp6LbveGViRQ%3D%3D&trk=public_jobs_jserp-result_search-card
Embedded Software Developer,Nokia,"Kanata, Ontario, Canada",21 hours ago,https://ca.linkedin.com/jobs/view/embedded-software-developer-at-nokia-4018461415?position=5&pageNum=6&refId=cgpSAvqukymI3geuhAFuhw%3D%3D&trackingId=%2BoHZDesjAvQbH0mw%2FbrQdA%3D%3D&trk=public_jobs_jserp-result_search-card
Embedded Software Developer,Epsilon Solutions Ltd.,"Ottawa, Ontario, Canada",7 months ago,https://ca.linkedin.com/jobs/view/embedded-software-developer-at-epsilon-solutions-ltd-3818366650?position=6&pageNum=6&refId=cgpSAvqukymI3geuhAFuhw%3D%3D&trackingId=MIMZWntbeerI%2BKZyNyud%2BA%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Java Developer,TV2 Consulting,"Ottawa, Ontario, Canada",10 months ago,https://ca.linkedin.com/jobs/view/senior-java-developer-at-tv2-consulting-3748515663?position=7&pageNum=6&refId=cgpSAvqukymI3geuhAFuhw%3D%3D&trackingId=JUSLOCZvFd8kasKle%2FYVSQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Developer (New Grad): C#/C++, WPF",Thales,"Ottawa, Ontario, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/software-developer-new-grad-c%23-c%2B%2B-wpf-at-thales-3899557229?position=8&pageNum=6&refId=cgpSAvqukymI3geuhAFuhw%3D%3D&trackingId=kNJybcupf0gKDF3xDhwnzg%3D%3D&trk=public_jobs_jserp-result_search-card
Java Developer,US Tech Solutions,"Ottawa, Ontario, Canada",6 months ago,https://ca.linkedin.com/jobs/view/java-developer-at-us-tech-solutions-3853746149?position=9&pageNum=6&refId=cgpSAvqukymI3geuhAFuhw%3D%3D&trackingId=z7B5VTR070ra4tLF2b0bWg%3D%3D&trk=public_jobs_jserp-result_search-card
Java Developer,MDA Edge,"Ottawa, Ontario, Canada",1 month ago,https://ca.linkedin.com/jobs/view/java-developer-at-mda-edge-4013775776?position=10&pageNum=6&refId=cgpSAvqukymI3geuhAFuhw%3D%3D&trackingId=lJKe7m1u0%2FBDNGJLnqzAWQ%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer - Java,Veeva Systems,"Ottawa, Ontario, Canada",2 days ago,https://ca.linkedin.com/jobs/view/software-engineer-java-at-veeva-systems-4012331762?position=1&pageNum=7&refId=29uYJpudyjSQskUkK3TseQ%3D%3D&trackingId=O1KbYSQ21rqtSMSm%2BIeKYw%3D%3D&trk=public_jobs_jserp-result_search-card
Jr Software Developer Service Router,Nokia,"Kanata, Ontario, Canada",21 hours ago,https://ca.linkedin.com/jobs/view/jr-software-developer-service-router-at-nokia-4018466185?position=2&pageNum=7&refId=29uYJpudyjSQskUkK3TseQ%3D%3D&trackingId=Z9qkZjGZ0fTBpnL0GoxxDg%3D%3D&trk=public_jobs_jserp-result_search-card
Software Engineer for AI Training Data (School Specific),G2i Inc.,"Ottawa, Ontario, Canada",1 week ago,https://ca.linkedin.com/jobs/view/software-engineer-for-ai-training-data-school-specific-at-g2i-inc-4010721835?position=3&pageNum=7&refId=29uYJpudyjSQskUkK3TseQ%3D%3D&trackingId=Bx%2F3i9H9%2Fv%2BjmgOX4JMfyQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Software Engineer, Frontend (Upfunnel Messaging)",Affirm,"Ottawa, Ontario, Canada",6 hours ago,https://ca.linkedin.com/jobs/view/software-engineer-frontend-upfunnel-messaging-at-affirm-4000279476?position=4&pageNum=7&refId=29uYJpudyjSQskUkK3TseQ%3D%3D&trackingId=sot7%2B4%2Fy7k8gnDDtgeoyTw%3D%3D&trk=public_jobs_jserp-result_search-card
Intern - Full-Stack Java Developer - 8 Months Hybrid in Ottawa,Entrust,"Ottawa, Ontario, Canada",1 day ago,https://ca.linkedin.com/jobs/view/intern-full-stack-java-developer-8-months-hybrid-in-ottawa-at-entrust-4018749468?position=5&pageNum=7&refId=29uYJpudyjSQskUkK3TseQ%3D%3D&trackingId=Q%2BiBuQvOuOSBEIS6C%2Bg3Pw%3D%3D&trk=public_jobs_jserp-result_search-card
Software Developer - API,Solace,"Ottawa, Ontario, Canada",2 days ago,https://ca.linkedin.com/jobs/view/software-developer-api-at-solace-4018384577?position=6&pageNum=7&refId=29uYJpudyjSQskUkK3TseQ%3D%3D&trackingId=U1p8oqSko5xgVPEo9yIROg%3D%3D&trk=public_jobs_jserp-result_search-card
Software Developer (M&S),Calian Group,Greater Ottawa Metropolitan Area,2 weeks ago,https://ca.linkedin.com/jobs/view/software-developer-m-s-at-calian-group-4002851229?position=7&pageNum=7&refId=29uYJpudyjSQskUkK3TseQ%3D%3D&trackingId=BMO1vdmaii0AhH61JPNseQ%3D%3D&trk=public_jobs_jserp-result_search-card
